date, pm25, pm10, o3, no2, so2, co
2025/5/1, 72, 21, 43, 8, 3, 3
2025/5/2, 51, 32, 46, 6, 3, 4
2025/5/3, 55, 28, 37, 10, 3, 3
2025/5/4, 51, 13, 44, 3, 3, 3
2025/5/5, 37, 27, 49, 15, 3, 4
2025/5/6, 58, 25, 39, 9, 3, 4
2025/5/7, 54, 23, 40, 10, 3, 3
2025/5/8, 51, 31, 41, 9, 2, 4
2025/5/9, 59, 35, 35, 4, 3, 3
2025/5/10, 64, 34, 33, 15, 3, 5
2025/5/11, 61, 54, 40, 13, 2, 4
2025/5/12, 79, 38, 51, 9, 3, 3
2025/5/13, 59, 28, 44, 5, 3, 3
2025/5/14, 51, 24, 41, 8, 3, 3
2025/5/15, 53, 30, 52, 13, 3, 4
2025/5/16, 61, 40, 74, 17, 3, 4
2025/5/17, 66, 37, 54, 9, 3, 3
2025/5/18, 63, 33, 38, 10, 3, 2
2025/5/19, 53, 20, 44, 11, 3, 2
2025/5/20, 40, 18, 44, 13, 3, 2
2025/5/21, 40, 20, 39, 8, 2, 2
2025/5/22, 50, 21, 48, 4, 3, 2
2025/5/23, 50, , , , , 
2025/5/25, 58, 47, 52, 24, 3, 4
2025/5/26, 70, 39, 43, 4, 3, 2
2025/5/27, 83, 34, 44, 5, 2, 2
2025/5/28, 58, 23, 50, 7, 2, 2
2025/5/29, 54, 20, 32, 7, 2, 2
2025/5/30, 54, 13, 47, 7, 2, 2
2025/5/31, 45, 10, 38, 3, 2, 2
2025/6/1, 48, 4, 39, 2, 2, 2
2025/6/2, 34, 9, 41, 5, 2, 2
2025/6/3, 44, 18, 43, 8, 2, 3
2025/6/4, 52, 27, 42, 7, 2, 3
2025/6/5, 53, 20, 39, 7, 2, 3
2025/6/6, 51, 18, 42, 3, 2, 3
2025/6/7, 54, 21, 40, 8, 2, 3
2025/6/8, 61, 22, 45, 3, 2, 3
2025/6/9, 61, , 39, 4, 2, 3
2025/6/10, 66, , 36, 7, 2, 3
2025/6/11, 64, , 38, 6, 2, 4
2025/6/12, 58, , 39, 4, 2, 4
2025/6/13, 63, , 43, 1, 2, 3
2025/6/14, 64, , 54, 2, 2, 3
2025/6/15, 66, , 52, 2, 3, 3
