date, pm25, pm10, o3, no2, so2, co
2024/1/11, 62, 18, 33, 7, 2, 5
2024/1/12, 26, 26, 35, 5, 3, 5
2024/1/13, 41, 43, 33, 15, 3, 5
2024/1/14, 52, 16, 21, 20, 3, 6
2024/1/15, 40, 23, 32, 26, 4, 7
2024/1/16, 54, 36, 24, 29, 4, 8
2024/1/17, 70, 39, 30, 28, 4, 9
2024/1/18, 72, 44, 36, 22, 4, 9
2024/1/19, 78, 38, 31, 16, 4, 8
2024/1/20, 79, 37, 19, 35, 5, 11
2024/1/21, 76, 49, 26, 24, 4, 7
2024/1/22, 85, 45, 31, 11, 3, 6
2024/1/23, 68, 22, 27, 14, 2, 6
2024/1/24, 44, 14, 28, 16, 2, 6
2024/1/25, 36, 16, 38, 7, 3, 5
2024/1/26, 43, 25, 37, 2, 4, 4
2024/1/27, 29, 21, 25, 14, 3, 6
2024/1/28, 37, 10, 23, 20, 3, 6
2024/1/29, 36, 12, 32, 8, 3, 5
2024/1/30, 37, 14, 27, 17, 3, 6
2024/1/31, 36, 12, 30, 17, 3, 6
2024/2/1, 38, 15, 34, 9, 4, 6
2024/2/2, 42, 11, 36, 8, 3, 6
2024/2/3, 36, 16, 27, 23, 3, 7
2024/2/4, 50, 13, 37, 14, 3, 6
2024/2/5, 43, 22, 35, 18, 3, 7
2024/2/6, 49, 25, 32, 21, 3, 7
2024/2/7, 52, 28, 33, 23, 3, 9
2024/2/8, 67, 34, 31, 15, 3, 8
2024/2/9, 86, 17, 33, 10, 3, 8
2024/2/10, 55, 20, 37, 18, 4, 9
2024/2/11, 56, 30, 22, 36, 4, 11
2024/2/12, 74, 47, 21, 32, 4, 8
2024/2/13, 77, 50, 33, 39, 3, 5
2024/2/14, 66, 30, 32, 38, 3, 5
2024/2/15, 52, 21, 37, 8, 3, 5
2024/2/16, 49, 22, 34, 8, 4, 5
2024/2/17, 46, 19, 23, 19, 3, 6
2024/2/18, 44, 21, 32, 13, 3, 6
2024/2/19, 45, 20, 26, 23, 3, 6
2024/2/20, 55, 23, 37, 17, 3, 6
2024/2/21, 58, 23, 32, 23, 3, 7
2024/2/22, 58, 26, 34, 18, 4, 8
2024/2/23, 63, 26, , 11, , 7
2024/2/24, 73, 28, 39, 21, 4, 7
2024/2/25, 77, 26, 39, 27, 3, 7
2024/2/26, 72, 38, 33, 20, 3, 7
2024/2/27, 79, 41, 37, 23, 3, 7
2024/2/28, 77, 30, 35, 17, 4, 5
2024/2/29, 56, 25, 40, 14, 4, 5
2024/3/1, 42, 31, 47, 9, 3, 5
2024/3/2, 73, 60, 39, 9, 3, 5
2024/3/3, 85, 40, 34, 16, 3, 6
2024/3/4, 62, 31, 34, 21, 2, 6
2024/3/5, 57, 31, 40, 18, 1, 7
2024/3/6, 59, 22, 41, 8, 1, 5
2024/3/7, 37, 18, 41, 13, 1, 6
2024/3/8, 37, 15, 39, 8, 1, 6
2024/3/9, 37, 19, 41, 16, 1, 6
2024/3/10, 41, 19, 46, 18, 1, 6
2024/3/11, 47, 25, 43, 26, 1, 8
2024/3/12, 58, 45, 45, 24, 1, 9
2024/3/13, 70, 32, 39, 14, , 6
2024/3/14, 61, 18, 38, 9, , 6
2024/3/15, 44, 14, 39, 8, , 6
2024/3/16, 39, 17, 36, 17, 1, 7
2024/3/17, 37, 33, 40, 11, 1, 6
2024/3/18, 57, 22, 43, 9, , 6
2024/3/19, 50, 30, 40, 15, 1, 6
2024/3/20, 51, 36, 42, 18, 2, 7
2024/3/21, 64, 27, 41, 4, 1, 6
2024/3/22, 45, 20, 42, 4, 1, 6
2024/3/23, 46, 18, 45, 11, 2, 44
2024/3/24, 47, 14, 43, 14, 1, 7
2024/3/25, 44, 21, 52, 17, 2, 7
2024/3/26, 49, 38, 35, 30, 2, 8
2024/3/27, 72, 54, 39, 30, 2, 10
2024/3/28, 87, 56, 38, 11, 1, 8
2024/3/29, 93, 44, 42, 8, 1, 8
2024/3/30, 81, 55, 45, 23, 2, 9
2024/3/31, 91, 59, 47, 21, 2, 8
2023/10/1, 46, , 40, 12, 1, 7
2023/10/2, 46, , 39, 10, 1, 7
2023/10/3, 61, , 41, 14, 1, 8
2023/10/4, 59, , 48, 8, 2, 7
2023/10/5, 53, , 52, 8, 1, 7
2023/10/6, 60, , 45, 4, 1, 7
2023/10/7, 57, , 41, 7, 1, 7
2023/10/8, 60, , 35, 7, 1, 7
2023/10/9, 57, , 36, 3, , 7
2023/10/10, 58, , 40, 4, , 7
2023/10/11, 64, , 35, 7, , 7
2023/10/12, 66, , 31, 8, , 7
2023/10/13, 58, , 38, 5, 1, 7
2023/10/14, 62, , 33, 5, 1, 7
2023/10/15, 49, , 34, 9, 1, 7
2023/10/16, 47, , 34, 14, 2, 7
2023/10/17, 57, , 31, 10, 2, 7
2023/10/18, 53, , 32, 11, 1, 7
2023/10/19, 54, , 33, 10, 1, 7
2023/10/20, 64, , 43, 10, 2, 7
2023/10/21, 54, , 49, 21, 2, 7
2023/10/22, 67, , 43, 19, 2, 6
2023/10/23, 78, , 46, 18, 2, 7
2023/10/24, 87, , 45, 18, 2, 8
2023/10/25, 90, , 34, 32, 3, 9
2023/10/26, 94, , 36, 21, 2, 8
2023/10/27, 90, , 61, 8, 1, 7
2023/10/28, 86, , 38, 26, 2, 8
2023/10/29, 97, , 32, 11, 2, 4
2023/10/30, 78, , 37, 16, 2, 5
2023/10/31, 66, , 61, 17, 2, 7
2023/11/1, 82, , 37, 13, 2, 6
2023/11/2, 90, , 32, 10, 2, 6
2023/11/3, 75, , 37, 11, 2, 6
2023/11/4, 62, , 40, 20, 3, 8
2023/11/5, 75, , 30, 19, 2, 7
2023/11/6, 83, , 27, 16, 2, 7
2023/11/7, 76, , 27, 16, 2, 7
2023/11/8, 78, , 30, 18, 2, 7
2023/11/9, 94, , 32, 13, 2, 7
2023/11/10, 78, , 37, 15, 2, 7
2023/11/11, 66, , 15, 30, 2, 9
2023/11/12, 90, , 37, 22, 2, 7
2023/11/13, 74, , 34, 12, 2, 6
2023/11/14, 64, , 29, 17, 2, 6
2023/11/15, 48, , 30, 21, 2, 7
2023/11/16, 52, , 39, 12, 2, 6
2023/11/17, 54, , 34, 8, 2, 6
2023/11/18, 59, , 32, 8, 2, 6
2023/11/19, 44, , 32, 5, 2, 5
2023/11/20, 36, , 32, 16, 2, 7
2023/11/21, 45, , 27, 25, 2, 7
2023/11/22, 53, , 26, 29, 3, 10
2023/11/23, 76, , 39, 20, 3, 9
2023/11/24, 92, , 29, 19, 3, 8
2023/11/25, 86, , 37, 10, 3, 5
2023/11/26, 94, 70, 35, 7, 2, 5
2023/11/27, 107, 23, 33, 18, 3, 6
2023/11/28, 39, 25, 26, 26, 3, 8
2023/11/29, 51, 39, 28, 26, 3, 9
2023/11/30, 66, 47, 38, 16, 4, 7
2023/12/1, 73, 39, 40, 14, 3, 7
2023/12/2, 77, 46, 22, 32, 3, 10
2023/12/3, 85, 51, 24, 28, 3, 10
2023/12/4, 84, 54, 32, 24, 2, 8
2023/12/5, 88, 34, 26, 17, 2, 6
2023/12/6, 76, 33, 28, 22, 2, 8
2023/12/7, 66, 44, 35, 20, 3, 8
2023/12/8, 79, 33, 32, 10, 2, 6
2023/12/9, 68, 29, 20, 30, 2, 9
2023/12/10, 60, 45, 29, 31, 2, 9
2023/12/11, 80, 46, 24, 27, 3, 8
2023/12/12, 85, 22, 30, 14, 2, 6
2023/12/13, 51, 17, 24, 19, 2, 7
2023/12/14, 37, 26, 25, 21, 3, 8
2023/12/15, 65, 19, 33, 18, 3, 9
2023/12/16, 60, 27, 31, 26, 3, 10
2023/12/17, 68, 35, 29, 27, 3, 8
2023/12/18, 77, 31, 26, 24, 3, 7
2023/12/19, 78, 28, 26, 24, 3, 6
2023/12/20, 66, 34, 38, 20, 4, 6
2023/12/21, 60, 58, 37, 6, 3, 5
2023/12/22, 75, 62, 35, 3, 3, 5
2023/12/23, 73, 35, 30, 20, 3, 7
2023/12/24, 58, 21, 28, 23, 3, 7
2023/12/25, 54, 27, 28, 22, 3, 7
2023/12/26, 61, 43, 24, 26, 4, 7
2023/12/27, 72, 57, 25, 25, 4, 8
2023/12/28, 94, 36, 28, 15, 3, 7
2023/12/29, 77, 21, 30, 13, 3, 6
2023/12/30, 60, 33, 26, 25, 4, 9
2023/12/31, 77, 40, 30, 23, 4, 9
2023/7/1, 58, , 40, 6, 1, 6
2023/7/2, 58, , 35, 9, 1, 6
2023/7/3, 62, , 30, 14, 1, 7
2023/7/4, 59, , 26, 8, 1, 7
2023/7/5, 60, , 32, 3, 1, 5
2023/7/6, 55, , 37, 3, 1, 6
2023/7/7, 62, , 40, 5, 1, 6
2023/7/8, 65, , 45, 7, 1, 6
2023/7/9, 71, , 41, 7, 1, 6
2023/7/10, 66, , 33, 6, 2, 6
2023/7/11, 51, , 40, 9, , 6
2023/7/12, 42, , 41, 8, 1, 6
2023/7/13, 49, , 38, 10, 1, 6
2023/7/14, 47, , 39, 2, 1, 6
2023/7/15, 58, , 33, 4, 1, 6
2023/7/16, 66, , 28, 6, 1, 6
2023/7/17, 68, , 32, 7, 2, 6
2023/7/18, 61, , 26, 9, 1, 6
2023/7/19, 54, , 31, 9, 2, 6
2023/7/20, 59, , 35, 10, 1, 6
2023/7/21, 62, , 32, 4, 1, 6
2023/7/22, 58, , 38, 5, 1, 7
2023/7/23, 62, , 29, 9, 1, 6
2023/7/24, 73, , 36, 13, 1, 7
2023/7/25, 75, , 30, 10, 1, 7
2023/7/26, 76, , 42, 14, 1, 7
2023/7/27, 61, , 45, 6, , 7
2023/7/28, 55, , 48, 5, 1, 6
2023/7/29, 56, , 46, 6, 2, 6
2023/7/30, 56, , 41, 9, 1, 6
2023/7/31, 56, , 38, 5, 1, 5
2023/8/1, 61, , 34, 6, 1, 6
2023/8/2, 59, , 38, 7, 2, 5
2023/8/3, 52, , 34, 7, 1, 5
2023/8/4, 53, , 40, 1, 1, 5
2023/8/5, 38, , 36, 4, 1, 5
2023/8/6, 36, , 31, 11, 2, 6
2023/8/7, 48, , 32, 7, 1, 5
2023/8/8, 52, , 34, 7, 1, 5
2023/8/9, 41, , 38, 8, 1, 4
2023/8/10, 48, , 42, 4, 1, 4
2023/8/11, 52, , 40, 1, 1, 4
2023/8/12, 60, , 35, 6, 1, 5
2023/8/13, 65, , 42, 8, 1, 5
2023/8/14, 64, , 43, 6, 1, 4
2023/8/15, 58, , 42, 7, 2, 3
2023/8/16, 60, , 36, 8, 1, 3
2023/8/17, 61, , 37, 3, 1, 3
2023/8/18, 64, , 38, 2, , 3
2023/8/19, 68, , 36, 5, 1, 3
2023/8/20, 66, , 40, 6, 1, 3
2023/8/21, 64, , 41, 6, 1, 3
2023/8/22, 63, , 37, 10, 1, 3
2023/8/23, 66, , 40, 6, 1, 3
2023/8/24, 61, , 39, 4, 1, 3
2023/8/25, 62, , 43, 2, 1, 3
2023/8/26, 67, , 42, 9, 1, 3
2023/8/27, 66, , 49, 11, 1, 4
2023/8/28, 63, , 46, 11, 1, 3
2023/8/29, 60, , 38, 11, 1, 3
2023/8/30, 56, , 33, 14, 1, 4
2023/8/31, 63, , 32, 9, 2, 3
2023/9/1, 68, , 33, 2, 2, 3
2023/9/2, 45, , 40, 10, 1, 3
2023/9/3, 44, , 42, 13, 1, 3
2023/9/4, 66, , 56, 16, 2, 4
2023/9/5, 77, , 52, 17, 2, 4
2023/9/6, 75, , 35, 18, 2, 4
2023/9/7, 64, , 38, 17, 2, 4
2023/9/8, 63, , 39, 3, 1, 3
2023/9/9, 65, , 31, 10, 1, 3
2023/9/10, 54, , 36, 16, 2, 3
2023/9/11, 55, , 51, 13, 2, 3
2023/9/12, 65, , 50, 12, 1, 3
2023/9/13, 96, , 39, 16, 1, 3
2023/9/14, 67, , 41, 11, 2, 3
2023/9/15, 52, , 43, 6, 1, 3
2023/9/16, 51, , 43, 4, 1, 3
2023/9/17, 45, , 39, 16, 1, 4
2023/9/18, 54, , 38, 16, 1, 4
2023/9/19, 61, , 39, 12, 1, 3
2023/9/20, 61, , 40, 10, 1, 3
2023/9/21, 58, , 41, 10, 2, 3
2023/9/22, 61, , 42, 6, 1, 3
2023/9/23, 62, , 43, 8, 1, 3
2023/9/24, 58, , 43, 2, 1, 3
2023/9/25, 52, , 37, 15, 1, 17
2023/9/26, 65, , 31, 15, 1, 44
2023/9/27, 81, , 32, 13, 1, 29
2023/9/28, 76, , 30, 29, 2, 9
2023/9/29, 75, , 31, 7, 1, 7
2023/9/30, 63, , 36, 13, 1, 5
2023/4/1, 46, , 36, 20, 1, 6
2023/4/2, 51, , 30, 27, 1, 8
2023/4/3, 61, , 55, 24, 1, 7
2023/4/4, 73, , 42, 7, 1, 6
2023/4/5, 72, , 34, 6, 1, 7
2023/4/6, 58, , 47, 11, 1, 6
2023/4/7, 64, , 45, 12, 1, 10
2023/4/8, 75, , 38, 19, 1, 7
2023/4/9, 78, , 33, 15, 1, 6
2023/4/10, 89, , 39, 5, 1, 4
2023/4/11, 92, , 42, 5, 1, 3
2023/4/12, 44, , 37, 10, 1, 4
2023/4/13, 42, , 42, 15, 1, 5
2023/4/14, 59, , 48, 12, 1, 6
2023/4/15, 64, , 42, 13, 1, 5
2023/4/16, 67, , 42, 12, 1, 5
2023/4/17, 68, , 48, 19, 1, 6
2023/4/18, 71, , 42, 26, 1, 7
2023/4/19, 69, , 37, 6, 1, 4
2023/4/20, 60, , 36, 6, 1, 4
2023/4/21, 35, , 36, 6, 1, 5
2023/4/22, 36, , 34, 13, 1, 5
2023/4/23, 46, , 34, 12, 1, 5
2023/4/24, 55, , 37, 12, 1, 5
2023/4/25, 51, , 42, 9, 1, 5
2023/4/26, 59, , 39, 20, 1, 6
2023/4/27, 59, , 38, 6, 1, 4
2023/4/28, 54, , 44, 2, 1, 4
2023/4/29, 38, , 43, 5, 1, 5
2023/4/30, 52, , 38, 14, 1, 5
2023/5/1, 69, , 37, 13, 1, 6
2023/5/2, 61, , 41, 12, 1, 6
2023/5/3, 58, , 41, 23, 1, 7
2023/5/4, 64, , 56, 23, 1, 7
2023/5/5, 99, , 41, 5, 1, 5
2023/5/6, 99, , 36, 8, 1, 4
2023/5/7, 54, , 33, 12, 1, 5
2023/5/8, 55, , 31, 10, 1, 6
2023/5/9, 68, , 37, 10, 1, 5
2023/5/10, 50, , 39, 19, 1, 7
2023/5/11, 59, , 37, 5, 1, 5
2023/5/12, 61, , 37, 2, 1, 4
2023/5/13, 52, , 34, 9, 1, 5
2023/5/14, 46, , 32, 10, 1, 5
2023/5/15, 63, , 46, 18, 1, 6
2023/5/16, 78, , 42, 14, 2, 6
2023/5/17, 74, , 38, 7, 1, 5
2023/5/18, 60, , 36, 6, 1, 5
2023/5/19, 51, , 40, 3, 1, 4
2023/5/20, 49, , 42, 15, 1, 6
2023/5/21, 55, , 47, 12, 1, 5
2023/5/22, 116, , 37, 8, 1, 5
2023/5/23, 142, , 42, 18, 1, 6
2023/5/24, 71, , 32, 6, , 5
2023/5/25, 84, , 32, 9, 1, 5
2023/5/26, 73, , 36, 13, 1, 5
2023/5/27, 76, , 37, 12, 1, 5
2023/5/28, 143, , 36, 5, 1, 5
2023/5/29, 91, , 34, 12, 1, 6
2023/5/30, 82, , 35, 15, 1, 6
2023/5/31, 66, , 36, 26, 2, 6
2023/6/1, 64, , 44, 21, 2, 6
2023/6/2, 86, , 41, 6, 1, 5
2023/6/3, 125, , 38, 6, 1, 5
2023/6/4, 57, , 37, 9, 1, 6
2023/6/5, 51, , 33, 8, 1, 5
2023/6/6, 74, , 29, 6, 1, 5
2023/6/7, 83, , 29, 19, 2, 7
2023/6/8, 79, , 39, 15, 1, 6
2023/6/9, 83, , 39, 2, 1, 5
2023/6/10, 82, , 39, 4, , 5
2023/6/11, 79, , 37, 4, 1, 5
2023/6/12, 74, , 31, 11, 1, 5
2023/6/13, 67, , 35, 6, 1, 5
2023/6/14, 64, , 35, 7, , 5
2023/6/15, 58, , 33, 8, 1, 5
2023/6/16, 55, , 34, 8, 1, 6
2023/6/17, 62, , 34, 5, 1, 5
2023/6/18, 55, , 38, 8, 1, 5
2023/6/19, 52, , 35, 6, 1, 5
2023/6/20, 51, , 36, 7, 1, 6
2023/6/21, 56, , 32, 8, 1, 6
2023/6/22, 59, , 36, 8, 1, 6
2023/6/23, 60, , 38, 4, 1, 6
2023/6/24, 51, , 37, 11, , 6
2023/6/25, 50, , 41, 8, , 6
2023/6/26, 52, , 38, 6, 1, 6
2023/6/27, 57, , 34, 6, 1, 6
2023/6/28, 56, , 37, 5, 1, 6
2023/6/29, 57, , 37, 4, 1, 6
2023/6/30, 52, , 39, 3, , 6
2023/1/2, 59, , 26, 15, 1, 5
2023/1/3, 64, , 23, 20, 1, 6
2023/1/4, 61, , 26, 22, 1, 6
2023/1/5, 63, , 24, 11, 1, 6
2023/1/6, 44, , 25, 9, 1, 6
2023/1/7, 48, , 25, 19, 1, 7
2023/1/8, 54, , 20, 27, 1, 6
2023/1/9, 51, , 22, 38, 1, 8
2023/1/10, 57, , 27, 31, 1, 8
2023/1/11, 63, , 26, 25, 1, 5
2023/1/12, 55, , 27, 11, 1, 
2023/1/13, 46, , 31, 6, 1, 
2023/1/14, 37, , 28, 13, 1, 7
2023/1/15, 34, , 27, 22, 1, 7
2023/1/16, 54, , 32, 25, 1, 8
2023/1/17, 54, , 29, 27, 1, 9
2023/1/18, 69, , 21, 32, 1, 9
2023/1/19, 60, , 29, 27, 1, 8
2023/1/20, 65, , 35, 19, 1, 9
2023/1/21, 73, , 31, 26, 1, 11
2023/1/22, 72, , 28, 29, 1, 10
2023/1/23, 82, , 37, 23, 3, 7
2023/1/24, 98, , 37, 25, 2, 10
2023/1/25, 87, , 37, 29, 3, 9
2023/1/26, 94, , 30, 26, 1, 9
2023/1/27, 97, , 37, 7, 1, 5
2023/1/28, 73, , 33, 18, 1, 8
2023/1/29, 83, , 36, 19, 1, 6
2023/1/30, 58, , 38, 5, 1, 5
2023/1/31, 29, , , , , 
2023/2/2, 47, , 24, 13, 1, 5
2023/2/3, 44, , 36, 5, 1, 4
2023/2/4, 33, , 35, 13, 1, 5
2023/2/5, 29, , 31, 6, 1, 4
2023/2/6, 50, , 30, 5, 1, 5
2023/2/7, 47, , 31, 10, 1, 5
2023/2/8, 33, , 29, 16, 1, 6
2023/2/9, 36, , 32, 11, 1, 6
2023/2/10, 50, , 30, 8, 1, 5
2023/2/11, 45, , 32, 18, 1, 6
2023/2/12, 60, , 35, 24, 2, 6
2023/2/13, 59, , 36, 31, 1, 7
2023/2/14, 71, , 29, 25, 1, 7
2023/2/15, 74, , 28, 23, 1, 6
2023/2/16, 50, , 39, 24, 1, 7
2023/2/17, 67, , 40, 15, 1, 7
2023/2/18, 64, , 39, 23, 1, 7
2023/2/19, 65, , 35, 17, 1, 7
2023/2/20, 70, , 33, 17, 1, 7
2023/2/21, 54, , 29, 26, 1, 7
2023/2/22, 57, , 30, 20, 1, 8
2023/2/23, 54, , 36, 17, 1, 8
2023/2/24, 61, , 33, 11, 1, 7
2023/2/25, 62, , 39, 21, 1, 6
2023/2/26, 66, , 35, 30, 2, 7
2023/2/27, 87, , 36, 33, 3, 5
2023/2/28, 118, , 32, 36, 2, 5
2023/3/1, 105, , 26, 44, 2, 8
2023/3/2, 112, , 46, 8, 1, 4
2023/3/3, 105, , 43, 13, 1, 4
2023/3/4, 106, , 38, 27, 2, 5
2023/3/5, 103, , 49, 6, 1, 3
2023/3/6, 97, , 38, 14, 1, 3
2023/3/7, 38, , 39, 7, 1, 3
2023/3/8, 27, , 35, 17, 1, 4
2023/3/9, 34, , 38, 20, 1, 5
2023/3/10, 48, , 47, 18, 1, 5
2023/3/11, 54, , 35, 31, 2, 6
2023/3/12, 59, , 40, 16, 1, 4
2023/3/13, 59, , 33, 19, 1, 5
2023/3/14, 70, , 36, 12, 1, 4
2023/3/15, 42, , 37, 19, 1, 4
2023/3/16, 44, , 38, 15, 2, 
2023/3/17, 53, , 39, 7, 1, 
2023/3/18, 49, , 38, 6, 1, 4
2023/3/19, 36, , 35, 11, 1, 4
2023/3/20, 42, , 30, 13, 1, 5
2023/3/21, 42, , 31, 18, 1, 6
2023/3/22, 39, , 25, 24, 1, 6
2023/3/23, 56, , 33, 21, 1, 7
2023/3/24, 66, , 30, 9, 1, 5
2023/3/25, 69, , 35, 7, 1, 5
2023/3/26, 66, , 32, 11, 1, 6
2023/3/27, 58, , 39, 22, 1, 7
2023/3/28, 64, , 38, 13, 1, 6
2023/3/29, 59, , 40, 5, 1, 5
2023/3/30, 48, , 38, 4, 1, 4
2023/3/31, 40, , 39, 7, 1, 5
2022/10/1, 58, , 27, 10, 1, 7
2022/10/2, 60, , 32, 11, 1, 6
2022/10/3, 62, , 47, 6, 1, 5
2022/10/4, 52, , 43, 4, 1, 6
2022/10/5, 57, , 35, 13, 1, 6
2022/10/6, 60, , 39, 7, 1, 5
2022/10/7, 49, , 39, 4, 2, 6
2022/10/8, 48, , 36, 8, 1, 
2022/10/9, 54, , 40, 8, 2, 
2022/10/10, 57, , 42, 16, 2, 6
2022/10/11, 59, , 40, 15, 1, 6
2022/10/12, 56, , 34, 11, 1, 6
2022/10/13, 56, , 34, 11, 1, 7
2022/10/14, 59, , 36, 7, 1, 6
2022/10/15, 58, , 39, 18, 2, 8
2022/10/16, 63, , 40, 8, 1, 6
2022/10/17, 70, , 37, 16, 1, 7
2022/10/18, 52, , 41, 17, 1, 8
2022/10/19, 59, , 35, 17, 1, 7
2022/10/20, 65, , 36, 8, 1, 6
2022/10/21, 66, , 35, 9, 2, 7
2022/10/22, 67, , 36, 18, 2, 8
2022/10/23, 75, , 40, 17, 2, 6
2022/10/24, 63, , 26, 24, 2, 7
2022/10/25, 83, , 26, 27, 2, 10
2022/10/26, 117, , 39, 20, 1, 8
2022/10/27, 95, , 46, 17, 1, 9
2022/10/28, 81, , 49, 13, 1, 8
2022/10/29, 87, , 43, 17, 1, 8
2022/10/30, 91, , 40, 13, 1, 7
2022/10/31, 76, , 35, 18, 1, 9
2022/11/1, 62, , 33, 19, 1, 7
2022/11/2, 69, , 48, 21, 1, 7
2022/11/3, 65, , 56, 19, 1, 8
2022/11/4, 73, , 73, 14, 2, 8
2022/11/5, 67, , 39, 17, 1, 8
2022/11/6, 65, , 42, 23, 2, 7
2022/11/7, 59, , 25, 17, 1, 7
2022/11/8, 62, , 24, 21, 1, 7
2022/11/9, 39, , 34, 23, 2, 8
2022/11/10, 50, , , 21, , 8
2022/11/11, 64, , 41, 17, 5, 8
2022/11/12, 77, , 31, 21, 3, 7
2022/11/13, 86, , 35, 23, 2, 8
2022/11/14, 92, , 41, 21, 1, 6
2022/11/15, 81, , 32, 19, 4, 7
2022/11/16, 63, , 30, 23, 5, 7
2022/11/17, 53, , 34, 18, 1, 8
2022/11/18, 57, , 37, 18, 2, 8
2022/11/19, 63, , 28, 23, 2, 6
2022/11/20, 68, , 28, 28, 2, 9
2022/11/21, 61, , 29, 24, 2, 9
2022/11/22, 81, , 32, 21, 2, 8
2022/11/23, 67, , 33, 21, 1, 7
2022/11/24, 62, , 35, 7, 1, 6
2022/11/25, 54, , 35, 6, 1, 6
2022/11/26, 38, , 23, 24, 1, 7
2022/11/27, 45, , 16, 35, 2, 10
2022/11/28, 62, , 35, 32, 3, 9
2022/11/29, 81, , 30, 26, 2, 9
2022/11/30, 75, , 27, 32, 2, 9
2022/12/1, 67, , 40, 24, 2, 9
2022/12/2, 74, , 33, 21, 2, 9
2022/12/3, 71, , 36, 28, 2, 8
2022/12/4, 69, , 36, 25, 3, 8
2022/12/5, 77, , 27, 22, 1, 7
2022/12/6, 68, , 20, 24, 1, 8
2022/12/7, 59, , 27, 31, 2, 10
2022/12/8, 73, , 31, 30, 2, 10
2022/12/9, 86, , 32, 20, 2, 8
2022/12/10, 91, , 23, 49, 2, 11
2022/12/11, 98, , 20, 47, 2, 11
2022/12/12, 90, , 34, 38, 3, 9
2022/12/13, 94, , 29, 30, 1, 8
2022/12/14, 93, , 25, 36, 2, 9
2022/12/15, 72, , 32, 26, 2, 8
2022/12/16, 72, , 30, 25, 1, 9
2022/12/17, 69, , 26, 22, 2, 7
2022/12/18, 65, , 23, 29, 2, 9
2022/12/19, 63, , 25, 42, 2, 9
2022/12/20, 86, , 28, 25, 2, 6
2022/12/21, 76, , 22, 25, 2, 5
2022/12/22, 55, , 25, 18, 2, 6
2022/12/23, 84, , 25, 14, 1, 5
2022/12/24, 80, , 19, 20, 2, 5
2022/12/25, 51, , 27, 14, 1, 5
2022/12/26, 38, , 27, 15, 3, 6
2022/12/27, 47, , 23, 37, 2, 9
2022/12/28, 56, , 24, 34, 2, 8
2022/12/29, 67, , 31, 23, 2, 6
2022/12/30, 73, , 31, 13, 2, 5
2022/12/31, 66, , 26, 16, 1, 5
2023/1/1, 67, , 28, 15, 1, 5
2022/7/1, 67, , , 7, , 6
2022/7/2, 49, , 99, 12, 3, 6
2022/7/3, 58, , 127, 22, 3, 7
2022/7/4, 67, , 92, 27, 4, 6
2022/7/5, 59, , 110, 14, 3, 6
2022/7/6, 57, , 100, 13, 3, 6
2022/7/7, 59, , 114, 16, 4, 6
2022/7/8, 62, , , 8, , 6
2022/7/9, 46, , 77, 7, 4, 6
2022/7/10, 52, , 102, 8, 4, 5
2022/7/11, 53, , 89, 15, 4, 5
2022/7/12, 61, , 94, 16, 4, 5
2022/7/13, 60, , 104, 14, 4, 5
2022/7/14, 58, , 103, 9, 4, 5
2022/7/15, 61, , 103, 6, 4, 5
2022/7/16, 53, , 101, 21, 4, 5
2022/7/17, 61, , 88, 14, 4, 6
2022/7/18, 66, , 75, 16, 4, 6
2022/7/19, 54, , 88, 25, 4, 6
2022/7/20, 53, , 95, 26, 4, 6
2022/7/21, 58, , 96, 13, 3, 5
2022/7/22, 59, , 93, 10, 3, 5
2022/7/23, 55, , 99, 16, 3, 5
2022/7/24, 50, , 87, 14, 3, 5
2022/7/25, 54, , 94, 33, 3, 6
2022/7/26, 53, , 91, 30, 4, 5
2022/7/27, 54, , 92, 22, 4, 5
2022/7/28, 55, , 92, 15, 3, 5
2022/7/29, 66, , 96, 6, 3, 5
2022/7/30, 52, , 103, 12, 3, 4
2022/7/31, 48, , 93, 16, 4, 5
2022/8/1, 61, , 103, 20, 4, 7
2022/8/2, 70, , , , , 
2022/8/4, 77, , 31, 5, 1, 
2022/8/5, 64, , 38, 2, 1, 
2022/8/6, 60, , 39, 5, , 5
2022/8/7, 61, , 38, 9, 1, 5
2022/8/8, 56, , 40, 8, , 6
2022/8/9, 60, , 36, 9, , 6
2022/8/10, 61, , 37, 6, 1, 6
2022/8/11, 59, , 36, 7, 1, 6
2022/8/12, 59, , 43, 3, 1, 6
2022/8/13, 57, , 42, 6, 1, 6
2022/8/14, 62, , 38, 10, 1, 6
2022/8/15, 59, , 33, 9, 1, 6
2022/8/16, 58, , 33, 8, 1, 6
2022/8/17, 51, , 38, 8, 1, 6
2022/8/18, 47, , 40, 7, 1, 6
2022/8/19, 61, , 54, 4, 1, 6
2022/8/20, 67, , 48, 7, 1, 7
2022/8/21, 86, , 41, 8, 1, 6
2022/8/22, 69, , 34, 8, 1, 6
2022/8/23, 60, , 38, 11, 1, 6
2022/8/24, 55, , 30, 9, 1, 6
2022/8/25, 58, , 31, 4, 1, 5
2022/8/26, 46, , 32, 3, 1, 6
2022/8/27, 34, , 38, 7, 1, 6
2022/8/28, 50, , 34, 4, 1, 5
2022/8/29, 59, , 36, 5, 1, 5
2022/8/30, 64, , 36, 5, 1, 6
2022/8/31, 69, , 37, 5, 1, 5
2022/9/1, 77, , 34, 5, 1, 5
2022/9/2, 69, , 35, 3, 1, 5
2022/9/3, 71, , 37, 6, , 5
